Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location
0.51,29,10,1996,,11.45,20.82,Yes,No,Yes,,No,Working Class,No
0.36,9,5,63,Wood,4.3,11.28,No,No,No,Roadways,No,Working Class,No
0.77,10,5,541,Bronze,5.28,23.04,No,No,No,Roadways,No,Working Class,No
,41,9,19928,Bronze,121.37,82.14,No,No,No,Waterways,No,Working Class,
0.79,23,8,152855,Stone,647.77,88.79,No,Yes,No,Roadways,No,Working Class,No
0.18,26,6,1606,Clay,6.56,16.18,No,No,No,Airways,Yes,Working Class,Yes
0.87,7,5,2125,Stone,5.22,19.81,No,Yes,Yes,Roadways,No,Working Class,No
0.32,41,12,7830,Clay,16.23,88.99,No,No,No,Roadways,Yes,Working Class,No
0.58,28,17,896,Wood,3.32,17.24,No,No,Yes,,No,Working Class,Yes
0.03,7,,2168,Marble,4.65,17.06,No,No,No,,No,Working Class,No
0.4,18,9,322,Wood,5.31,15.7,No,Yes,Yes,Roadways,No,Working Class,No
0.57,4,3,26,Wood,3.15,18.99,Yes,Yes,Yes,Airways,No,Wealthy,No
0.41,19,8,,Aluminium,6.43,11.82,Yes,Yes,No,Airways,No,Working Class,
0.48,24,6,59036,Stone,319.06,70.13,No,No,Yes,Airways,No,Working Class,No
0.69,25,14,1695010,Stone,7351.07,75.19,Yes,Yes,No,Airways,No,Working Class,
0.41,11,8,815,Clay,5.52,21.32,No,No,Yes,Waterways,Yes,Working Class,Yes
,9,5,653,Bronze,5.6,22.6,Yes,Yes,No,Airways,No,Wealthy,No
0.16,20,11,2797,,3.03,14.31,Yes,Yes,No,Airways,No,Working Class,
0.47,22,18,18959,Brass,111.06,92.24,No,Yes,No,Airways,No,Working Class,No
0.46,12,8,1448,Bronze,9.85,15.31,Yes,No,Yes,Waterways,No,Working Class,
0.65,4,4,78,Bronze,4.63,13.77,No,Yes,Yes,Roadways,No,Wealthy,Yes
0.32,35,11,491,Wood,3.35,15.16,No,No,No,,No,Wealthy,No
,13,7,3130,Bronze,6.21,16.02,No,Yes,Yes,Roadways,No,Working Class,No
0.29,42,18,14120,Clay,12.59,72.17,No,No,No,Roadways,Yes,Working Class,No
0.95,44,15,11196,Clay,61.12,57.31,No,No,Yes,Waterways,Yes,Working Class,No
0.86,34,11,1793759,Stone,1332.42,25.62,Yes,Yes,Yes,Airways,No,Wealthy,No
0.48,18,9,837,Aluminium,3.12,10.98,Yes,No,Yes,Waterways,No,Working Class,No
0.58,34,8,463,,3.78,13.34,Yes,No,No,,No,Working Class,Yes
,5,3,701,Stone,6.7,24.16,Yes,No,No,Airways,No,Working Class,No
0.62,28,7,,Wood,3.03,13.03,No,No,Yes,Roadways,No,Wealthy,
0.87,26,8,314113,Stone,1846.84,60.7,No,Yes,No,Airways,No,Wealthy,No
0.25,19,11,8648,Bronze,17.04,74.41,No,Yes,No,Airways,No,Working Class,No
0.21,27,10,23049,,16.67,77.67,No,No,Yes,,No,Working Class,No
0.16,29,9,,Clay,6.49,21.95,No,No,No,,Yes,Working Class,No
0.47,11,7,1318,Bronze,4.15,13.13,No,No,No,Roadways,No,Working Class,No
0.84,4,4,43,,3.39,15.75,No,No,Yes,Roadways,No,Working Class,No
0.55,35,18,59797,Bronze,238.2,87.86,No,No,No,Roadways,No,Working Class,No
0.57,7,5,,Stone,41.61,28.46,No,No,Yes,,No,Working Class,No
0.54,35,8,278714,Marble,378.41,92.17,Yes,No,Yes,,No,Working Class,No
0.1,7,5,2666,,5.12,14.13,Yes,Yes,No,,No,Wealthy,No
0.34,8,,5153,,8.92,97.79,Yes,No,No,Waterways,No,Working Class,No
0.33,28,8,,Clay,8.71,24.06,No,Yes,No,,Yes,Working Class,
0.25,14,7,5648,Brass,10.24,79.85,Yes,No,No,Waterways,No,Working Class,No
0.35,32,20,91529,Brass,456.3,99.59,Yes,No,Yes,Waterways,No,Working Class,No
0.65,31,12,4475,Clay,27.1,24.77,No,No,No,Roadways,Yes,Working Class,No
,30,8,10547,Bronze,38.22,33.93,Yes,No,No,,No,Working Class,No
0.22,16,7,3330,Brass,11.22,20.81,Yes,No,No,Waterways,No,Working Class,Yes
0.58,15,6,44125,Stone,86.41,88.26,No,Yes,No,,No,Working Class,No
0.28,3,3,,Stone,6.08,13.82,No,Yes,Yes,Roadways,No,Working Class,No
0.74,19,7,929,,9.38,10.47,No,No,No,Roadways,Yes,Working Class,No
,3,2,85,Marble,5.64,14.19,No,Yes,No,Airways,No,Working Class,No
0.74,23,7,1404,Clay,5.49,17.91,No,No,No,Roadways,Yes,Working Class,
0.37,23,10,444173,Stone,2359.05,65.95,No,No,Yes,,No,Working Class,No
0.13,31,12,338703,Marble,179.03,25.76,No,No,No,Roadways,No,Working Class,
0.27,14,6,335,Aluminium,4.15,21.65,No,No,No,Roadways,No,Working Class,No
0.45,36,15,110410,Brass,188.57,33.45,Yes,No,No,Waterways,No,Working Class,No
0.43,4,3,32,Aluminium,4.16,22.2,No,No,No,Roadways,No,Working Class,Yes
,,6,182,,4.01,16.92,No,No,Yes,,No,Working Class,No
0.17,14,6,393,Aluminium,6.33,22.54,No,Yes,No,Airways,No,Working Class,No
0.5,30,20,870,Wood,6.41,16.11,Yes,Yes,Yes,Airways,No,Wealthy,No
0.43,15,8,163,Wood,3.19,13.89,No,No,Yes,Roadways,No,Working Class,
0.12,24,,301767,Stone,715.93,52.35,Yes,No,Yes,Waterways,No,Working Class,No
0.64,12,8,285,Aluminium,3.62,21.02,No,No,No,Roadways,No,Working Class,No
0.41,16,6,127,Wood,5.18,20.07,No,Yes,No,Airways,No,Working Class,No
0.78,16,7,267,Aluminium,3.19,11.17,Yes,No,Yes,Waterways,No,Working Class,No
0.42,10,4,57,Aluminium,6.92,24.71,No,No,Yes,Waterways,No,Working Class,No
,41,18,28778,Bronze,97.34,87.21,No,No,Yes,Roadways,No,Wealthy,
0.25,37,8,13611,Bronze,32.43,69.33,No,No,Yes,Waterways,No,Working Class,No
0.81,25,7,220,Wood,3.2,20.51,No,No,Yes,,No,Working Class,No
,14,,150,Wood,6.42,13.76,Yes,No,No,Waterways,No,Working Class,Yes
0.67,22,8,241688,Stone,661.51,78.79,Yes,Yes,Yes,,No,Wealthy,No
0.76,16,6,,Aluminium,6.19,16.64,Yes,Yes,Yes,Airways,No,Working Class,
0.69,13,6,1328,Bronze,6.36,11.62,No,No,Yes,Roadways,No,Working Class,No
0.52,6,5,5741,Stone,30.53,81.56,Yes,No,No,Waterways,No,Working Class,No
0.18,20,6,157,Wood,4.98,10.66,No,Yes,Yes,Airways,No,Wealthy,No
0.71,45,,832,Wood,4.33,10.78,Yes,Yes,No,Airways,No,Wealthy,
,13,6,879,Bronze,7.08,14.91,No,No,No,Roadways,No,Working Class,No
0.41,16,,59337,,48.13,54.25,No,No,No,,No,Working Class,
0.8,,20,2583679,,21161.39,74.42,No,Yes,No,Roadways,No,Working Class,No
0.11,7,4,442,Brass,3.43,12,No,No,No,Waterways,No,Working Class,
0.81,33,16,98883,Brass,259.2,60.9,No,Yes,No,Airways,No,Working Class,Yes
0.17,27,7,210,Wood,3.62,11.65,No,No,Yes,Roadways,No,Working Class,Yes
0.74,21,12,,,1906.22,61.53,No,No,Yes,Roadways,No,Working Class,No
0.31,3,2,17,Clay,5.02,21.44,No,Yes,No,Airways,Yes,Wealthy,Yes
0.96,10,4,254,Clay,6.16,16.25,No,No,Yes,Waterways,Yes,Working Class,No
0.5,29,20,1432756,,4745.6,59.41,Yes,No,Yes,,No,Working Class,
0.81,46,10,55040,,206.75,73.21,Yes,Yes,No,,No,Wealthy,No
0.59,39,6,14966,Brass,57.19,93.12,No,No,No,Waterways,No,Working Class,No
0.66,8,4,92,Aluminium,6.91,10.71,No,Yes,No,Airways,No,Wealthy,Yes
0.74,24,12,,,3.28,23.23,No,No,No,,No,Working Class,No
0.31,5,5,349,Brass,5.81,13.32,No,Yes,No,Airways,No,Wealthy,No
0.22,36,10,3003,Clay,5.54,11.85,No,No,No,Roadways,Yes,Working Class,No
0.44,33,11,1235,,6.27,15.94,Yes,No,Yes,,No,Working Class,No
0.44,27,7,204525,Marble,276.87,78.71,No,No,No,,No,Working Class,
0.26,4,3,14,Aluminium,6.59,17.56,No,Yes,No,Airways,No,Wealthy,Yes
0.18,11,7,,Brass,6.26,17.66,Yes,No,No,Waterways,No,Working Class,No
1,43,13,43735,Bronze,115.44,86.23,Yes,Yes,No,Airways,No,Working Class,Yes
0.89,7,5,403,Bronze,5.54,16.9,No,Yes,No,Roadways,No,Working Class,No
0.08,20,10,242733,Marble,252.32,53.8,No,No,Yes,Roadways,No,Working Class,No
0.36,9,,,Bronze,5.74,18.18,No,Yes,Yes,Airways,No,Working Class,No
0.35,6,4,2091,Marble,9.62,11.95,No,No,No,Roadways,No,Working Class,No
0.82,10,4,65,Aluminium,3.07,18.17,No,No,Yes,,No,Working Class,No
0.27,58,27,24675,Clay,56.86,29.79,No,Yes,No,Roadways,Yes,Wealthy,No
0.35,44,,7940489,Stone,16980.47,69.04,Yes,No,Yes,Waterways,No,Working Class,No
0.15,18,12,753,Aluminium,4.41,19.31,No,No,No,Airways,No,Working Class,No
0.37,30,,25238,Bronze,89.21,48.93,No,No,No,Roadways,No,Wealthy,Yes
0.12,23,6,128,,6.45,23.83,No,No,Yes,,No,Working Class,No
0.19,7,4,105,Clay,4.56,21.18,No,Yes,No,Roadways,Yes,Wealthy,Yes
0.89,50,11,97829,Brass,1005.56,36.74,No,No,Yes,,No,Working Class,No
0.43,42,18,10374,Clay,17.87,45.38,Yes,No,No,Roadways,Yes,Working Class,Yes
0.1,20,10,717,Aluminium,5.93,19.12,No,No,No,Roadways,No,Working Class,
0.63,19,6,2240,Brass,10.21,17.03,Yes,No,No,Waterways,No,Working Class,No
0.26,15,8,4722,Brass,6.31,14.58,Yes,Yes,Yes,Airways,No,Wealthy,No
0.16,9,4,,Marble,10.81,14.97,No,No,No,,No,Working Class,No
0.58,3,2,36,Brass,4.39,11.99,No,Yes,No,,No,Working Class,
,10,4,5240,,5.35,28.4,Yes,No,No,Waterways,No,Working Class,No
0.54,10,4,71,Wood,6.19,23.35,No,Yes,No,,No,Working Class,
,4,,,Marble,4.68,12.05,No,No,Yes,Roadways,No,Wealthy,Yes
0.42,42,9,2202536,Stone,8910.21,96.97,Yes,No,No,Waterways,No,Working Class,No
0.72,12,7,337,Clay,6.28,20.26,Yes,No,Yes,Roadways,Yes,Wealthy,No
0.46,40,,4835604,Marble,24069.16,40.12,No,No,No,Waterways,Yes,Working Class,No
0.3,,9,301,Wood,3.15,18.48,Yes,Yes,Yes,,No,Working Class,No
,22,13,715,Wood,3.06,22.82,Yes,Yes,No,Airways,No,Wealthy,No
0.77,,,219,Wood,3.28,11.15,Yes,No,Yes,,No,Working Class,
0.42,20,9,331,Wood,5.96,15.33,Yes,No,No,,No,Working Class,
0.42,20,8,54822,Marble,47.39,38.87,No,Yes,Yes,Roadways,No,Wealthy,
0,6,4,79,Aluminium,3.8,18.51,No,Yes,No,Airways,No,Wealthy,Yes
0.15,46,19,3192344,Marble,2802.14,70.93,No,No,No,Roadways,Yes,Working Class,No
0.64,42,24,6497,Aluminium,25.95,72.47,No,No,No,Roadways,No,Wealthy,
0.6,15,7,329,Aluminium,5.1,15.44,No,No,No,Roadways,No,Working Class,Yes
0.09,,11,,Wood,6.06,12.12,Yes,No,Yes,,No,Working Class,
0.68,23,17,252208,Marble,1904.42,47.69,No,Yes,No,Airways,No,Wealthy,No
0.41,36,11,2000665,Stone,8564.29,51.78,Yes,No,Yes,,No,Working Class,No
0.76,24,12,403462,Marble,2227.26,89.85,No,No,No,Roadways,No,Working Class,No
0.18,11,8,2065,Bronze,5.36,14.94,No,No,No,Airways,No,Working Class,No
0.24,28,11,896,Aluminium,3.83,15.43,No,No,No,Roadways,No,Working Class,No
0.07,38,21,12953,Clay,7.08,53.85,No,No,Yes,Airways,Yes,Working Class,No
0.13,9,5,,Bronze,4.3,12.91,No,Yes,Yes,,No,Wealthy,No
0.06,13,7,39956,Stone,56.62,59.6,No,No,Yes,Waterways,No,Working Class,No
0.59,7,5,120,,4.01,13.07,No,Yes,Yes,Airways,Yes,Wealthy,No
0.4,4,3,226,Marble,5.19,20.8,No,No,Yes,Roadways,No,Wealthy,No
0.05,23,10,151,Wood,6.26,18.06,No,No,No,,No,Working Class,No
,51,,23972911,Stone,68090.98,92.93,No,No,No,,No,Working Class,No
0.27,17,7,,Bronze,8.21,22.4,No,No,Yes,,No,Working Class,No
0.37,9,,,,4.41,23.94,Yes,No,Yes,,No,Working Class,No
0,31,16,1641621,Marble,1181.16,93.14,Yes,Yes,No,,No,Working Class,No
0.16,20,7,26330,Marble,45.1,40.64,No,No,No,Roadways,No,Working Class,No
0.63,7,5,710,Brass,6.61,12.04,No,Yes,No,Airways,No,Working Class,Yes
,13,,99,Wood,5.01,16.12,Yes,No,Yes,,No,Working Class,No
0.1,18,15,,Wood,6.43,19.89,No,No,No,Airways,No,Working Class,Yes
0.58,,16,913,Wood,6.08,20.91,No,Yes,No,Airways,No,Wealthy,No
,,17,2427691,Marble,17547.88,48.1,No,No,No,Roadways,Yes,Working Class,Yes
0.18,17,6,643,Aluminium,6.84,22.08,No,No,Yes,,No,Wealthy,No
0.22,11,6,619,Brass,3.63,23.25,No,No,Yes,,No,Working Class,No
0.01,28,10,591,Wood,5.57,14.65,Yes,No,Yes,Airways,No,Working Class,No
0.65,14,8,163,Wood,3.14,17.36,No,No,Yes,Roadways,No,Working Class,No
0.33,31,9,898942,Stone,2903.96,96.09,No,No,No,Roadways,No,Working Class,Yes
,7,,4113,Marble,20.84,16.5,No,No,Yes,,No,Working Class,Yes
0.44,47,16,3829,Aluminium,8.16,14.61,No,Yes,Yes,Airways,No,Working Class,No
,16,8,258,Wood,3.05,17.92,No,No,Yes,Roadways,No,Working Class,No
0.62,28,9,20185,Brass,25.68,37.38,No,Yes,No,Airways,No,Working Class,Yes
0.41,28,16,,Wood,3.13,24.92,Yes,Yes,No,Airways,No,Working Class,No
0.52,9,5,441,,5.28,13.91,No,Yes,Yes,Roadways,No,Working Class,No
0.34,29,19,51019,Bronze,111.54,94.99,Yes,No,Yes,Waterways,No,Working Class,No
0.9,38,22,22025,Clay,205.8,54.95,No,Yes,No,Airways,Yes,Wealthy,Yes
,36,23,1314125,Marble,1368.62,90.75,No,No,Yes,Roadways,Yes,Working Class,Yes
0.28,7,4,113,,5.2,24.77,Yes,No,Yes,,Yes,Working Class,
0.03,3,2,,Brass,5.96,13.53,Yes,No,No,Airways,No,Working Class,No
0.65,6,5,4928,,31.52,16.61,Yes,Yes,No,Airways,No,Wealthy,No
0.58,13,6,2933,Brass,6.02,13.8,Yes,No,No,Roadways,No,Wealthy,No
0.81,9,4,70,Wood,6.37,18.8,No,Yes,No,Airways,No,Working Class,Yes
0.19,23,6,7533,,15.25,66.31,No,Yes,No,Airways,No,Wealthy,
0.22,32,12,11192,Bronze,9.89,82.5,Yes,No,Yes,,No,Working Class,No
0.82,25,8,7384,Bronze,21.68,95.46,No,Yes,No,Airways,No,Working Class,Yes
0.49,32,19,30968,,94.79,91.52,No,No,Yes,,No,Working Class,Yes
0.28,23,11,736707,Stone,475.61,93.4,Yes,No,No,Airways,No,Working Class,Yes
,20,16,460784,Marble,2098.62,69.27,No,No,Yes,,No,Working Class,No
0.08,62,17,145936,Bronze,139.18,93.05,Yes,No,Yes,,Yes,Working Class,Yes
0.33,8,4,2548,Stone,10.14,10.77,No,No,Yes,Roadways,No,Working Class,No
0.39,15,6,30515,Marble,37.73,72.63,No,Yes,No,Airways,No,Wealthy,Yes
0.54,33,16,1880789,Marble,9728.85,91.41,Yes,No,No,,No,Working Class,No
0.12,19,7,109618,Marble,83.45,46.89,No,No,No,Roadways,No,Working Class,No
0.49,5,,35,Wood,4.55,15.87,No,No,No,Roadways,No,Working Class,No
,39,,717,Aluminium,6.48,16.69,No,No,No,Waterways,No,Working Class,No
,6,4,3513,Stone,11.23,12.73,Yes,Yes,Yes,,No,Wealthy,Yes
0.96,18,7,123,Wood,4.28,22.25,Yes,No,Yes,Airways,No,Working Class,
0.72,11,7,277,Aluminium,5.07,15.97,No,Yes,No,,No,Working Class,No
0.64,38,20,11196264,Stone,16819.89,75.61,No,No,Yes,Roadways,No,Working Class,No
0.02,36,19,5073,Aluminium,7.5,56.81,No,Yes,No,,No,Working Class,No
0.77,17,12,15355,Brass,70.87,60.76,No,No,Yes,,No,Working Class,No
,33,,5995,Clay,13.32,80.87,No,No,No,Roadways,Yes,Working Class,No
0.48,24,,9384,Brass,48.9,82.37,No,No,No,,No,Working Class,No
,15,6,137,Wood,5.78,10.81,No,No,No,Waterways,No,Working Class,Yes
0.61,37,20,,,136.35,55.3,Yes,No,No,,No,Working Class,
0.41,14,7,94548,Stone,448,42.33,No,Yes,No,Roadways,No,Wealthy,No
0.5,,,398,Aluminium,4.54,21.85,Yes,No,No,,No,Working Class,No
0.79,5,4,1316,Marble,6.89,12.44,No,Yes,No,,No,Wealthy,
0.41,30,12,17246,Bronze,8.11,51.54,Yes,No,No,Waterways,No,Working Class,No
,3,3,12,,6.49,21.38,No,Yes,Yes,Roadways,No,Wealthy,No
0.46,26,9,648821,Stone,1047.38,93.18,No,No,No,Waterways,No,Working Class,No
0.4,39,26,16388,Clay,99.83,62.86,No,No,No,,Yes,Working Class,Yes
0.34,8,4,109,Aluminium,3.59,21.2,No,No,No,Roadways,No,Wealthy,No
0.31,11,,,Clay,3.95,17.95,Yes,Yes,No,,Yes,Wealthy,No
0.16,34,7,243265,Marble,171.37,75.61,No,No,No,Airways,No,Wealthy,Yes
0.31,23,,18687,Brass,41.35,46.94,No,No,Yes,Roadways,No,Working Class,Yes
,36,18,5284901,,17380.45,40.97,No,No,No,Roadways,No,Wealthy,No
0.36,48,28,2975,Wood,6.66,12.2,No,No,No,Roadways,No,Working Class,Yes
0.27,28,13,2223,,6.03,18.1,No,Yes,No,Roadways,No,Wealthy,Yes
0.79,35,11,31917,Brass,145.44,25.87,No,No,No,Waterways,No,Working Class,Yes
0.46,17,10,185865,Marble,678.53,57.85,Yes,No,No,Waterways,No,Working Class,No
0.41,61,,,Brass,404.27,72.08,No,No,Yes,Airways,Yes,Working Class,No
0.22,28,13,1690,Aluminium,4.3,20.6,No,No,No,,No,Wealthy,No
